{E\}	U+00C8	È	LATIN CAPITAL LETTER E WITH GRAVE
{%E}	U+2203	∃	THERE EXISTS
{C}	U+00A9	©	COPYRIGHT SIGN
{%c}	=	???	unknown
{b*-}	=	???	unknown
{1/4}	U+00BC	¼	VULGAR FRACTION ONE QUARTER
{-|}	U+00AC	¬	NOT SIGN
{zenskau}	=	???	unknown
{Zemlja}	=	???	unknown
{Z/}	U+0179	Ź	LATIN CAPITAL LETTER Z WITH ACUTE
{w^}	U+0175	ŵ	LATIN SMALL LETTER W WITH CIRCUMFLEX
{%w}	=	???	unknown
{Vodnar1}	=	???	unknown
{Vodnar}	=	???	unknown
{Venera}	=	???	unknown
{venera}	U+2640	♀	FEMALE SIGN
{V.-}	=	???	unknown
{|v}	U+2193	↓	DOWNWARDS ARROW
{Uu}	U+016C	Ŭ	LATIN CAPITAL LETTER U WITH BREVE
{Uran}	=	???	unknown
{ulomljeno}	=	???	unknown
{%U}	U+2229	∩	INTERSECTION
{u: }	U+00FC	ü	LATIN SMALL LETTER U WITH DIAERESIS
{u//}	U+0171	ű	LATIN SMALL LETTER U WITH DOUBLE ACUTE
{u ,}	U+0173	ų	LATIN SMALL LETTER U WITH OGONEK
{ %u}	=	???	unknown
{Tehtnica1}	=	???	unknown
{Tehtnica}	=	???	unknown
{t-}	t,U+0304	t̄	LATIN SMALL LETTER T + COMBINING MACRON
{t,}	U+0165	ť	LATIN SMALL LETTER T WITH CARON
{t .}	U+1E6D	ṭ	LATIN SMALL LETTER T WITH DOT BELOW
{Strelec1}	=	???	unknown
{Strelec}	=	???	unknown
{Sonce}	=	???	unknown
{sonce}	U+263C	☼	WHITE SUN WITH RAYS
{snl}	=	???	unknown
{s lenis}	=	???	unknown
{Škorpijon1}	=	???	unknown
{Škorpijon}	=	???	unknown
{sh}	U+0448	ш	CYRILLIC SMALL LETTER SHA
{segno2}	=	???	unknown
{segno1}	=	???	unknown
{Saturn}	=	???	unknown
{s asper}	=	???	unknown
